year,week,net_revenue,unique_clients_week,gross_revenue,boxes
2013,2,2310,91,4047,100
2013,3,12342,410,20296,526
2013,4,25807,469,35253,929
2013,5,35713,438,44641,1177
2013,6,41898,488,52335,1361
2013,7,44234,444,52723,1363
2013,8,49658,482,59484,1535
2013,9,54130,480,64267,1659
2013,10,59368,356,66391,1707
2013,11,57970,469,67979,1751
2013,12,63673,432,73032,1877
2013,13,65516,480,75622,1961
2013,14,62242,402,71357,1849
2013,15,70115,430,79629,2062
2013,16,75005,467,86824,2218
2013,17,77108,466,87391,2246
2013,18,75599,390,84488,2173
2013,19,89753,549,101804,2612
2013,20,81389,552,93102,2381
2013,21,87671,443,97800,2500
2013,22,83600,504,95313,2416
2013,23,91485,555,103659,2651
2013,24,100459,655,115209,2956
2013,25,101604,576,115004,2932
2013,26,101093,672,115978,2956
2013,27,112112,735,129101,3300
2013,28,104760,632,118848,3033
2013,29,99435,593,114081,2919
2013,30,96953,787,116752,2975
2013,31,100158,844,120195,3091
2013,32,108571,820,128045,3320
2013,33,107922,805,127501,3255
2013,34,106660,812,125250,3205
2013,35,111579,868,131604,3367
2013,36,130741,876,151015,3838
2013,37,131027,988,152772,3882
2013,38,134478,993,157164,3995
2013,39,134561,1070,159414,4043
2013,40,145789,1028,170510,4292
2013,41,152653,929,174261,4383
2013,42,147146,982,169236,4285
2013,43,150206,1030,173836,4387
2013,44,152668,954,175289,4421
2013,45,164988,983,189047,4765
2013,46,170725,1080,198475,5005
2013,47,181740,1119,212142,5376
2013,48,178240,1065,204833,5190
2013,49,182527,1032,208319,5266
2013,50,176678,1056,203635,5142
2013,51,181462,995,208538,5280
2013,52,96431,506,109996,2805
2013,53,125876,569,140841,3571
2014,1,198015,1023,222852,5653
2014,2,216515,1706,259773,6623
2014,3,222933,1630,262965,6715
2014,4,222056,1409,257873,6576
2014,5,217735,1273,251457,6410
2014,6,230726,1378,264607,6742
2014,7,220863,1222,252618,6415
2014,8,208488,1090,237258,6013
2014,9,226359,1159,256395,6510
2014,10,235228,1271,270170,6850
2014,11,230762,1177,272083,6925
2014,12,201476,963,234285,5931
2014,13,203076,1084,232810,5910
2014,14,231120,1066,262170,6647
2014,15,240049,1181,273782,6955
2014,16,231014,1121,266113,6759
2014,17,226381,1129,260710,6585
2014,18,207354,985,237727,6001
2014,19,231428,796,261274,6611
2014,20,197835,867,223604,5696
2014,21,186980,703,209389,5332
2014,22,201924,735,225030,5714
2014,23,215724,809,239740,6066
2014,24,201287,793,226667,5738
2014,25,194829,901,221559,5642
2014,26,192086,886,218663,5560
2014,27,196709,757,220272,5621
2014,28,189144,679,210801,5395
2014,29,170156,855,196325,5060
2014,30,163467,729,186198,4775
2014,31,169766,687,190588,4878
2014,32,170872,750,197622,5056
2014,33,163821,771,188941,4852
2014,34,168223,616,188897,4801
2014,35,172959,641,193678,4918
2014,36,177858,634,196711,4972
2014,37,185235,563,204535,5148
2014,38,182024,622,201423,5065
2014,39,171979,562,189369,4757
2014,40,186630,636,205996,5201
2014,41,183516,618,203288,5150
2014,42,171050,650,192092,4875
2014,43,168858,639,188469,4765
2014,44,179234,601,197243,4970
2014,45,186956,655,206001,5174
2014,46,191633,660,213398,5364
2014,47,174398,612,196726,4949
2014,48,177092,659,199830,5032
2014,49,196323,542,216492,5465
2014,50,194834,584,214230,5394
2014,51,152864,376,167184,4057
2014,52,123616,370,137342,3374
2015,1,194073,627,215224,5418
2015,2,193201,730,216782,5456
2015,3,183041,763,208145,5229
2015,4,205841,714,230595,5775
2015,5,207919,751,231722,5804
2015,6,220871,784,248012,6193
2015,7,201821,827,230595,5760
2015,8,191870,714,215821,5354
2015,9,206988,773,231386,5781
2015,10,224142,762,250175,6237
2015,11,209760,807,236496,5882
2015,12,212888,808,239193,5949
2015,13,203349,726,229308,5719
2015,14,210214,687,235632,5897
2015,15,174607,582,197326,4941
2015,16,182827,678,209131,5245
2015,17,195807,607,221506,5510
2015,18,206157,666,234479,5793
2015,19,212097,658,235754,5826
2015,20,206203,720,232103,5690
2015,21,176810,606,197741,4852
2015,22,198653,687,223838,5490
2015,23,197455,560,218419,5376
2015,24,189076,617,211461,5166
2015,25,198341,656,223035,5441
2015,26,192227,673,217595,5287
2015,27,202910,652,227285,5542
2015,28,185586,614,208782,5076
2015,29,176928,628,199160,4846
2015,30,177844,615,201174,4863
2015,31,191343,548,212743,5185
2015,32,175846,615,196764,4763
2015,33,170926,635,194691,4704
2015,34,193711,713,222363,5355
2015,35,179165,628,203315,4888
2015,36,206890,659,233791,5619
2015,37,221975,725,256369,6162
2015,38,219729,929,257191,6147
2015,39,193416,832,225152,5358
2015,40,208583,696,235734,5642
2015,41,244582,977,276482,6614
2015,42,222744,908,254802,6082
2015,43,200860,835,228298,5443
2015,44,181387,770,207843,4971
2015,45,268920,1020,307287,7337
2015,46,232092,1026,270414,6427
2015,47,222652,949,259932,6160
2015,48,245756,1067,286294,6793
2015,49,265797,1187,310562,7321
2015,50,261247,888,295797,6988
2015,51,216590,541,240226,5492
2015,52,147896,387,165642,3929
